	(持股天数：82,	盈利(元):0.33,	收益：2.07%,	年化收益：5.97%)
	(持股天数：29,	盈利(元):2.41,	收益：15.80%,	年化收益：128.61%)
	(持股天数：48,	盈利(元):-0.67,	收益：-4.13%,	年化收益：-20.32%)
	(持股天数：57,	盈利(元):-1.45,	收益：-10.76%,	年化收益：-44.57%)
总持股天数：398,	总盈利(元):-0.15,	总收益：-4.40%,	总年化收益：-2.61%

0600050: 
	(持股天数：81,	盈利(元):-0.52,	收益：-8.98%,	年化收益：-26.17%)
	(持股天数：87,	盈利(元):0.36,	收益：5.93%,	年化收益：16.09%)
	(持股天数：14,	盈利(元):0.59,	收益：11.32%,	年化收益：190.90%)
	(持股天数：108,	盈利(元):-0.74,	收益：-14.45%,	年化收益：-31.58%)
	(持股天数：16,	盈利(元):0.17,	收益：4.10%,	年化收益：60.42%)
	(持股天数：32,	盈利(元):-0.09,	收益：-2.07%,	年化收益：-15.29%)
	(持股天数：84,	盈利(元):-0.31,	收益：-8.22%,	年化收益：-23.10%)
总持股天数：422,	总盈利(元):-0.54,	总收益：-14.10%,	总年化收益：-7.88%

0600051: 
	(持股天数：58,	盈利(元):-1.20,	收益：-15.54%,	年化收益：-63.25%)
	(持股天数：15,	盈利(元):0.63,	收益：12.40%,	年化收益：195.12%)
	(持股天数：18,	盈利(元):0.20,	收益：3.61%,	年化收益：47.33%)
	(持股天数：149,	盈利(元):-0.50,	收益：-7.52%,	年化收益：-11.91%)
	(持股天数：62,	盈利(元):3.35,	收益：63.33%,	年化收益：241.05%)
	(持股天数：170,	盈利(元):-2.90,	收益：-28.77%,	年化收益：-39.94%)
	(持股天数：15,	盈利(元):0.14,	收益：2.10%,	年化收益：33.07%)
总持股天数：487,	总盈利(元):-0.28,	总收益：8.05%,	总年化收益：3.90%

0600052: 
	(持股天数：108,	盈利(元):-0.14,	收益：-4.11%,	年化收益：-8.97%)
	(持股天数：42,	盈利(元):0.68,	收益：23.29%,	年化收益：130.85%)
	(持股天数：87,	盈利(元):1.01,	收益：29.97%,	年化收益：81.30%)
	(持股天数：23,	盈利(元):0.26,	收益：5.79%,	年化收益：59.42%)
	(持股天数：96,	盈利(元):-0.38,	收益：-12.06%,	年化收益：-29.66%)
	(持股天数：40,	盈利(元):0.98,	收益：24.26%,	年化收益：143.12%)
	(持股天数：73,	盈利(元):0.55,	收益：12.73%,	年化收益：41.16%)
总持股天数：469,	总盈利(元):2.96,	总收益：100.24%,	总年化收益：50.44%

0600053: 
	(持股天数：27,	盈利(元):4.61,	收益：21.54%,	年化收益：188.29%)
	(持股天数：106,	盈利(元):-1.23,	收益：-6.07%,	年化收益：-13.50%)
	(持股天数：103,	盈利(元):7.23,	收益：34.07%,	年化收益：78.07%)
	(持股天数：139,	盈利(元):-7.09,	收益：-28.60%,	年化收益：-48.56%)
	(持股天数：43,	盈利(元):-0.12,	收益：-0.76%,	年化收益：-4.16%)
